tournament_year,team,fifa_ranking,ranking_as_of_date,source_url
2026,South Africa,61,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,South Korea,22,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Spain,1,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Sweden,,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Switzerland,17,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Tunisia,40,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Turkey,,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,United States,14,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Uruguay,16,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Uzbekistan,50,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2022,Argentina,4,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Australia,,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Belgium,2,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Brazil,1,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Cameroon,37,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Canada,38,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Costa Rica,,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Croatia,16,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Denmark,11,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Ecuador,46,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,England,5,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,France,3,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Germany,12,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Ghana,60,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Iran,21,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Japan,23,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Mexico,9,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Morocco,24,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Netherlands,10,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Poland,26,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Portugal,8,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Qatar,51,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Saudi Arabia,49,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Senegal,20,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Serbia,25,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,South Korea,29,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Spain,7,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Switzerland,14,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Tunisia,35,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,United States,15,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Uruguay,13,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
2022,Wales,,2022-03-31,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_seeding
1994,Argentina,9,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Belgium,22,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Bolivia,59,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Brazil,4,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Bulgaria,23,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Cameroon,24,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Colombia,21,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Germany,3,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Greece,32,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Italy,1,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Mexico,17,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Morocco,30,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Netherlands,2,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Nigeria,16,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Norway,5,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Republic of Ireland,13,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Romania,12,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Russia,14,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Saudi Arabia,38,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,South Korea,39,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Spain,7,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Sweden,11,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,Switzerland,9,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
1994,United States,27,1993-11-19,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_qualification
